state,zipcode,hash_codes,closed_won_percentage
MD,73112,0061K00000krO84,0.0
NJ,57105,"0061K00000kreSu, 0061K00000kreSu",0.0
MD,14301,0061K00000krcQr,0.0
FL,19406,0061K00000krbqx,0.0
DE,21044,0061K00000kqP3K,0.0
GA,7103,0061K00000kqkDj,100.0
NJ,21215,0061K00000kqIEW,0.0
NJ,33136,0061K00000kqCMa,0.0
SD,19901,0061K00000kqck4,0.0
TX,30342,0061K00000kqCG8,0.0
NC,8837,0061K00000kqaAJ,0.0
IL,8053,0061K00000kq99K,0.0
NJ,57108,0061K00000kpsdT,0.0
MN,78411,0061K00000kpO05,0.0
MI,28054,0061K00000kpgFC,0.0
NY,60611,0061K00000kpEqk,0.0
NY,8234,"0061K00000kOxor, 0061K00000kpgAq",0.0
TN,55805,"0061K00000kouCK, 0061K00000kpEqk",0.0
NE,48602,0061K00000kou4n,0.0
AL,10017,0061K00000kOrRT,0.0
FL,11219,0061K00000k3Pzt,0.0
VA,38104,"0061K00000k3kdI, 0061K00000k1LI9",50.0
CA,68701,0061K00000k3Hq2,0.0
NJ,35801,"0061K00000k35D2, 0061K00000k3Pzt",0.0
NH,32610,"0061K00000k35ak, 0061K00000k3kdI",0.0
TX,22903,0061K00000k2UcZ,0.0
IL,92324,0061K00000k2oTq,0.0
NC,7030,0061K00000k2IK4,0.0
FL,3598,0061K00000k2fs6,0.0
PA,75201,0061K00000k1XAe,0.0
MO,61602,0061K00000k1LHa,0.0
WA,28401,0061K00000k1EDy,0.0
KY,33759,0061K00000k1ctr,0.0
AZ,15213,0061K00000k1CB5,0.0
KY,63141,0061K00000k0tDa,0.0
CA,42303,"0061K00000k0IhT, 0061K00000jTF5J",0.0
OH,40202,0061K00000k04Vs,0.0
GA,29601,0061K00000jWa9Q,0.0
GA,90027,0061K00000jW1vf,0.0
AL,14617,0061K00000jVZNI,0.0
VA,44310,0061K00000jVwnv,0.0
LA,30309,0061K00000jVwgu,0.0
MO,30322,0061K00000jVulK,0.0
OH,35233,0061K00000jVQGi,0.0
PA,23502,0061K00000jVksz,0.0
OH,70163,0061K00000jV7DQ,0.0
CA,19087,0061K00000jUhha,0.0
MA,45429,0061K00000jU76x,0.0
NE,38104,0061K00000jTF5J,0.0
NH,93306,0061K00000jTEIe,0.0
SC,91786,0061K00000jTAze,0.0
NY,2115,0061K00000iq9K9,0.0
WI,68845,0061K00000ipJJr,0.0
OH,3102,0061K00000ipDQS,0.0
GA,29646,0061K00000ioytq,0.0
GA,14203,0061K00000imbYE,0.0
NY,54449,0061K00000hxrQv,0.0
MO,92868,0061K00000hupw0,0.0
TN,19104,0061K00000huJjk,0.0
NC,94602,0061K00000huj2w,0.0
MI,72601,0061K00000h9QBQ,0.0
AZ,64506,0061K00000h9Bgm,0.0
FL,38105,0061K00000h93mN,0.0
MA,28602,0061K00000h7yvD,0.0
TX,48202,0061K00000h7yuN,0.0
MI,85712,0061K00000h7yuK,0.0
MS,33309,0061K00000h7yug,0.0
KY,1201,0061K00000h7Ijg,0.0
MN,76011,0061K00000h6N1Y,0.0
NY,48503,0061K00000h6jwx,0.0
HI,38801,0061K00000h6fqm,0.0
WY,40223,0061K00000h6FM6,0.0
HI,55415,0061K00000gUdpW,0.0
CA,14642,0061K00000fvP5f,0.0
TX,96813,0061K00000fuilJ,0.0
TN,82716,0061K00000ftCbz,0.0
IL,96816,0061K00000ei25Z,0.0
IL,92227,0061K00000eHxwx,0.0
CT,76104,0061K00000eHxr4,0.0
ID,60901,0061K00000eHQSr,0.0
MS,60621,0061K00000eHjuf,0.0
NY,6106,0061K00000eHgqn,0.0
SD,83467,0061K00000cONkF,0.0
MO,39216,0061K00000ciOuV,0.0
PA,77030,0061K00000lQnLj,0.0
AZ,57108,0061K00000lQmFq,0.0
WA,65301,0061K00000lQeMa,0.0
TX,79601,0061K00000lQE9R,0.0
NC,15801,0061K00000lQDjm,0.0
PA,98034,0061K00000kYSNP,0.0
NH,75203,0061K00000kYFZF,0.0
IL,27610,0061K00000kYCI0,0.0
MI,85008,0061K00000kXvjS,0.0
CT,3833,0061K00000kwre4,0.0
UT,62781,0061K00000ksUL4,0.0
OH,49007,0061K00000ksMnz,0.0
CA,83712,0061K00000ksM2t,0.0
OH,6106,0061K00000ksLv2,0.0
LA,84111,0061K00000ksL3T,0.0
CO,45237,0061K00000ksGKu,0.0
